ZAMS_M,ZAMS_Lbol
0.5,0.04178454942288388
0.52,0.046573021852589346
0.54,0.05198518602682294
0.56,0.05812998255014372
0.58,0.06510055169118956
0.6,0.07305171010101524
0.62,0.08212692581828283
0.64,0.09251248074251542
0.66,0.1043143564977901
0.68,0.11769989600505434
0.7,0.13296491584305375
0.72,0.1501428670584827
0.74,0.16996717561188915
0.76,0.19203614730214563
0.78,0.2165844788456062
0.8,0.2437106744913848
0.82,0.2735645670479229
0.84,0.3061253861846496
0.86,0.3417602462583412
0.88,0.38056893372243045
0.9,0.42286697076099267
0.92,0.4686400195703772
0.94,0.5181320443347773
0.96,0.5718064544979591
0.98,0.6295389391871146
1.0,0.6918273049149967
1.02,0.7587657914823277
1.04,0.8306173903745214
1.06,0.9073601258694581
1.08,0.9913334644957483
1.1,1.0820652814849576
1.12,1.1755367429000179
1.14,1.2832588548719788
1.16,1.3905436618504423
1.18,1.5156392383521644
1.2,1.643524037677865
1.22,1.783397591940498
1.24,1.9271140861768923
1.26,2.0884980418290278
1.28,2.26395825471513
1.3,2.4481324557039876
1.32,2.641871826213076
1.34,2.8535073821510077
1.36,3.0734062553621975
1.38,3.309757275429738
