time,Lx
22.33197612857029,1.8063582794754468e+30
23.31930077118089,1.3317763369986147e+30
24.198528017386227,9.94466966116488e+29
25.41936225217104,7.883035597803828e+29
26.535685773780397,6.308192242893671e+29
27.759186223032874,5.1101510192407115e+29
30.31239657858069,4.231613793450821e+29
31.524311987630977,4.888286215744045e+29
35.23341306785238,4.780992608718735e+29
38.773360592513264,4.184916017036746e+29
43.49700617440732,3.805822141808678e+29
50.78732660191435,3.6103167922179495e+29
59.2960693827088,3.483515390583997e+29
69.2326863738911,3.3282816613551914e+29
80.83569080680657,3.1657853372878286e+29
94.38678375103642,2.9790965679531104e+29
110.21260524704618,2.780955209425537e+29
128.69471708064873,2.5798002524159973e+29
150.28267285341758,2.3634341991865742e+29
175.50597442161987,2.1154756200870502e+29
204.9684167628241,1.878359989120869e+29
240.7770203803057,1.6824202228461443e+29
276.61106396751234,1.4263196567989106e+29
321.8247520264705,1.2210880692556937e+29
360.5541257480266,1.0591303082096707e+29
421.19639463809153,8.685030336804336e+28
488.6056606952543,7.050916340045062e+28
566.8167919031267,5.684785577545401e+28
624.0302607424818,4.861239162480147e+28
695.9010970602313,4.069563912566936e+28
796.0356034538272,3.2562059114359397e+28
904.1709074837958,2.6256961601157143e+28
1027.0110349408958,2.1080420157906085e+28
1166.5313608290487,1.6961449503536191e+28
1324.9906677473227,1.3692098859333823e+28
1494.4474562615278,1.1003224317205506e+28
1643.1464931788544,9.284409086774426e+27
1893.7579555622378,7.452279873232056e+27
2284.309864374358,5.814311239389684e+27
2687.861624057023,4.5125809192660264e+27
3074.471317366619,3.662725178742866e+27
3541.6101672633613,2.95027492972012e+27
4079.643661652884,2.390466676993941e+27
4653.134929220428,1.9637265713869492e+27
