Time,Mass,Radius,Lx
23.0,68.9970542082866,10.27,1.4400000000000044e+30
33.0,68.96534925780945,10.267012922287309,9.608148632040048e+29
43.0,68.94238208961964,10.26484875871855,7.141689329244582e+29
53.0,68.92439839843152,10.263153996341604,5.649705259564626e+29
63.0,68.90963494149217,10.26176258380632,4.654733014708629e+29
73.0,68.89712246379324,10.260583233788735,3.946250603696251e+29
83.0,68.88627125234528,10.259560400959952,3.417395902614609e+29
93.0,68.87669595328673,10.258657786231641,3.0083149638050898e+29
103.0,68.8681310006727,10.257850372692868,2.682945830449133e+29
113.0,68.86038568063938,10.257120193742994,2.4183009040256858e+29
123.0,68.85331845102594,10.256453914490438,2.1990531876004418e+29
133.0,68.84682139808754,10.25584136780094,2.01460140002313e+29
143.0,68.84081038099824,10.25527462601245,1.8573854515210003e+29
153.0,68.83521853766555,10.254747389226255,1.721872906045712e+29
163.0,68.82999186455307,10.254254568940636,1.6039245033447164e+29
173.0,68.82508612375207,10.253791996697277,1.5003833144437669e+29
183.0,68.82046462639286,10.253356215272223,1.4088008244861241e+29
193.0,68.81609661057607,10.252944325867917,1.3272495945060565e+29
203.0,68.81195603232571,10.25255387421104,1.2541922296193692e+29
213.0,68.80802064955613,10.25218276425247,1.1883878871947347e+29
223.0,68.80427131783145,10.251829191818695,1.1288243725567976e+29
233.0,68.80069144179194,10.251491592927897,1.0746680239487184e+29
243.0,68.79726654273271,10.25116860304843,1.0252261876257541e+29
253.0,68.79398391404197,10.250859024634504,9.799187485050038e+28
263.0,68.79083234392905,10.250561801001332,9.382562705124826e+28
273.0,68.78780189027721,10.250275995111112,8.998230266134645e+28
283.0,68.78488369629717,10.25000077220308,8.642636909587312e+28
293.0,68.78206983842581,10.249735385461557,8.312728050695232e+28
303.0,68.77935319993578,10.249479164106472,8.005863674988826e+28
313.0,68.77672736521525,10.249231503431401,7.719750648521582e+28
323.0,68.77418653079292,10.24899185641939,7.452387830236762e+28
333.0,68.77172543002584,10.24875972664611,7.202021254098013e+28
343.0,68.76933926900935,10.248534662240411,6.9671072943074535e+28
353.0,68.76702367176226,10.248316250718865,6.746282206115816e+28
363.0,68.76477463312305,10.24810411454686,6.538336793721333e+28
373.0,68.76258847809217,10.247897907307136,6.342195228112778e+28
383.0,68.76046182659081,10.247697310378681,6.156897244556254e+28
393.0,68.75839156279365,10.247502030046657,5.981583108342004e+28
403.0,68.75637480834149,10.247311794977932,5.815480860414325e+28
413.0,68.75440889886012,10.24712635400816,5.657895450390807e+28
423.0,68.75249136330764,10.246945474195407,5.508199439716609e+28
433.0,68.75061990575155,10.246768939102747,5.365825017113498e+28
443.0,68.74879238924066,10.246596547278259,5.23025711568212e+28
453.0,68.74700682148965,10.246428110905851,5.101027458724873e+28
463.0,68.74526134213725,10.246263454604382,4.977709391647304e+28
473.0,68.74355421137538,10.246102414355954,4.859913381753382e+28
483.0,68.7418837997758,10.245944836547123,4.747283087594925e+28
493.0,68.74024857916642,10.24579057710894,4.639491915713742e+28
503.0,68.73864711442995,10.245639500744005,4.536239995863235e+28
513.0,68.73707805611535,10.245491480230056,4.437251516692003e+28
523.0,68.73554013376733,10.245346395791273,4.34227237286978e+28
533.0,68.73403214989187,10.24520413452949,4.251068082095961e+28
543.0,68.73255297448642,10.24506458990865,4.163421936639282e+28
553.0,68.73110154007259,10.24492766128661,4.079133359242739e+28
563.0,68.72967683717687,10.244793253489172,3.998016437574193e+28
573.0,68.72827791021207,10.244661276421871,3.919898615058394e+28
583.0,68.72690385371729,10.244531644715577,3.844619519010201e+28
593.0,68.7255538089198,10.244404277402412,3.772029909598973e+28
