Time,Mass,Radius,Lx
23.0,68.9970542082866,10.27,1.3e+30
33.0,68.97948615654342,10.2683448905908,2.6254430769169112e+29
43.0,68.97471289335078,10.267895168415132,8.125000000000072e+28
53.0,68.97211280486967,10.267650191269658,7.426368236754493e+28
63.0,68.969700666288,10.267422919501652,6.894438694426062e+28
73.0,68.96743575183795,10.267209516539502,6.471228435906223e+28
83.0,68.96529048104902,10.267007384174534,6.123675431864401e+28
93.0,68.9632451086134,10.266814662313568,5.831338311530708e+28
103.0,68.96128489957485,10.266629962864894,5.580794683491194e+28
113.0,68.9593984978033,10.266452216039209,5.3628105282020245e+28
123.0,68.9575769226689,10.26628057583072,5.17079246256987e+28
133.0,68.95581292068363,10.26611435893831,4.999887250044112e+28
143.0,68.95410052933337,10.265953003676252,4.846430887058217e+28
153.0,68.95243477371346,10.265796041395744,4.707597256923129e+28
163.0,68.95081144952202,10.265643076041833,4.581166083794146e+28
173.0,68.9492269640566,10.265493769174544,4.465365033814804e+28
183.0,68.9476782172663,10.265347828763453,4.358759462810436e+28
193.0,68.94616251113989,10.26520500065165,4.260173679432677e+28
203.0,68.94467747956713,10.26506506194837,4.168633588358353e+28
213.0,68.94322103327097,10.26492781584139,4.0833241655996765e+28
223.0,68.94179131601965,10.264793087472022,4.003557430124117e+28
233.0,68.94038666940813,10.264660720617403,3.928747977000493e+28
243.0,68.93900560423752,10.264530574994321,3.8583940460351e+28
253.0,68.93764677703692,10.264402524047494,3.7920627020956535e+28
263.0,68.93630897063761,10.264276453119589,3.729378110248499e+28
273.0,68.93499107797365,10.264152257925184,3.6700121686874417e+28
283.0,68.93369208847457,10.264029843268924,3.613676958017682e+28
293.0,68.93241107655912,10.263909121961586,3.5601186041825752e+28
303.0,68.93114719184503,10.263790013897816,3.509112252060391e+28
313.0,68.92989965077116,10.263672445266915,3.4604579193734174e+28
323.0,68.92866772938967,10.26355634787383,3.413977054036594e+28
333.0,68.92745075713381,10.263441658552084,3.3695096578945346e+28
343.0,68.92624811140408,10.263328318653752,3.3269118697439627e+28
353.0,68.92505921284467,10.263216273604517,3.286053923273607e+28
363.0,68.92388352120516,10.263105472513814,3.2468184129650017e+28
373.0,68.92272053170082,10.262995867831975,3.2090988144421355e+28
383.0,68.92156977179992,10.262887415047578,3.172798216220018e+28
393.0,68.92043079837795,10.262780072419373,3.1378282280030335e+28
403.0,68.91930319518866,10.262673800738051,3.10410803715654e+28
413.0,68.91818657060985,10.262568563113893,3.0715635901170065e+28
423.0,68.91708055562785,10.262464324786901,3.0401268796158984e+28
433.0,68.91598480203072,10.2623610529566,3.0097353218967007e+28
443.0,68.91489898078397,10.26225871662902,2.9803312107757257e+28
453.0,68.91382278056689,10.262157286478834,2.951861237568172e+28
463.0,68.91275590645022,10.262056734724773,2.924276067673974e+28
473.0,68.91169807869896,10.261957035016858,2.897529966073044e+28
483.0,68.91064903168599,10.261858162334066,2.8715804651790665e+28
493.0,68.9096085129041,10.261760092891256,2.8463880694941838e+28
503.0,68.90857628206587,10.26166280405438,2.821915992332692e+28
513.0,68.9075521102819,10.261566274263071,2.7981299205711427e+28
523.0,68.90653577930915,10.261470482959835,2.7749978039597874e+28
533.0,68.90552708086231,10.261375410525185,2.752489666016021e+28
543.0,68.90452581598166,10.261281038218089,2.730577433930342e+28
553.0,68.90353179445202,10.261187348121238,2.709234785262432e+28
563.0,68.90254483426769,10.261094323090642,2.688437009499774e+28
573.0,68.90156476113899,10.26100194670915,2.6681608828024535e+28
583.0,68.90059140803662,10.260910203243519,2.648384554472521e+28
593.0,68.89962461477016,10.260819077604719,2.6290874438703195e+28
603.0,68.89866422759779,10.26072855531116,2.6102501466583766e+28
613.0,68.89771009886434,10.260638622454605,2.5918543493897874e+28
623.0,68.89676208666519,10.260549265668507,2.573882751575808e+28
633.0,68.89582005453387,10.260460472098574,2.5563189944694234e+28
643.0,68.89488387115124,10.260372229375381,2.5391475958902273e+28
653.0,68.89395341007449,10.260284525588844,2.522353890493091e+28
663.0,68.89302854948438,10.260197349264402,2.5059239749503273e+28
673.0,68.89210917194913,10.260110689340781,2.4898446575758708e+28
683.0,68.89119516420371,10.260024535149206,2.474103411971505e+28
693.0,68.89028641694328,10.259938876393933,2.458688334320379e+28
703.0,68.88938282462976,10.259853703134045,2.44358810399283e+28
713.0,68.88848428531038,10.259769005766334,2.4287919471645745e+28
723.0,68.88759070044739,10.259684775009292,2.4142896031782987e+28
733.0,68.88670197475817,10.259601001888022,2.4000712934070193e+28
743.0,68.88581801606483,10.259517677720085,2.3861276924018707e+28
753.0,68.88493873515272,10.259434794102166,2.3724499011284936e+28
763.0,68.88406404563713,10.259352342897527,2.359029422115335e+28
773.0,68.88319386383776,10.259270316224164,2.3458581363542326e+28
783.0,68.88232810866016,10.259188706443656,2.332928281808844e+28
793.0,68.88146670148393,10.259107506150626,2.3202324334000776e+28
803.0,68.88060956605705,10.25902670816279,2.3077634843498247e+28
