Time,Mass,Radius,Lx
23.0,53.47334005120631,8.74,1.3e+30
33.0,53.4655347263592,8.739192542538083,1.3e+30
43.0,53.45773028857387,8.738385133576472,1.3e+30
53.0,53.44992673777735,8.737577773113738,1.3e+30
63.0,53.442124073896686,8.736770461148451,1.3e+30
73.0,53.43432229685892,8.735963197679178,1.3e+30
83.0,53.42652140659111,8.735155982704491,1.3e+30
93.0,53.41872140302029,8.73434881622296,1.3e+30
103.0,53.41092228607354,8.733541698233154,1.3e+30
113.0,53.403124055677914,8.732734628733642,1.3e+30
123.0,53.395326711760475,8.731927607722996,1.3e+30
133.0,53.38753025424829,8.731120635199785,1.3e+30
143.0,53.379734683068435,8.730313711162577,1.3e+30
153.0,53.37193999814799,8.729506835609945,1.3e+30
163.0,53.36414619941402,8.728700008540454,1.3e+30
173.0,53.356353286793635,8.727893229952679,1.3e+30
183.0,53.348561260213906,8.727086499845187,1.3e+30
193.0,53.34077011960193,8.72627981821655,1.3e+30
203.0,53.3329798648848,8.725473185065336,1.3e+30
213.0,53.32519049598962,8.724666600390115,1.3e+30
223.0,53.31740201284349,8.723860064189457,1.3e+30
233.0,53.30961441537352,8.723053576461934,1.3e+30
243.0,53.30187016012647,8.722251534389207,1.2541429960944086e+30
253.0,53.29473388760624,8.721512420825752,1.1161325563380528e+30
263.0,53.2883150052448,8.720847577311892,9.97809074940249e+29
273.0,53.28251779273313,8.720247098740069,8.957679812813632e+29
283.0,53.27726222317453,8.719702703126822,8.072895134077068e+29
293.0,53.27248094424323,8.719207419551799,7.301829367428829e+29
303.0,53.26811692013265,8.718755344364462,6.626700397277004e+29
313.0,53.264121573250314,8.718341449030666,6.032970956671398e+29
323.0,53.260453307614675,8.71796142742805,5.5086769046970675e+29
333.0,53.25707632648583,8.717611573555308,5.043910073372929e+29
343.0,53.253959678761525,8.717288682891443,4.630416749157489e+29
353.0,53.25107648467211,8.716989972293607,4.261283462807125e+29
363.0,53.24840330306754,8.716713014536602,3.930689272855705e+29
373.0,53.24591961131432,8.716455684498372,3.633709103718077e+29
383.0,53.24360737535178,8.71621611467066,3.366156585469188e+29
393.0,53.241450692388675,8.715992658183525,3.1244576782043998e+29
403.0,53.2394354924742,8.715783857920384,2.905548451886703e+29
