Time,Mass,Radius,Lx
23.0,26.391246598963903,5.59,1.44e+30
24.0,26.3825349878077,5.588832062469316,1.44e+30
25.0,26.373825721321914,5.58766429775918,1.44e+30
26.0,26.365118799001227,5.58649670585225,1.44e+30
27.0,26.3564142203404,5.5853292867311835,1.44e+30
28.0,26.347711984834294,5.584162040378643,1.44e+30
29.0,26.339012091977853,5.5829949667772905,1.44e+30
30.0,26.33031454126611,5.58182806590979,1.44e+30
31.0,26.32161933219419,5.58066133775881,1.44e+30
32.0,26.312926464257306,5.579494782307016,1.44e+30
33.0,26.30423593695076,5.578328399537077,1.44e+30
34.0,26.295547749769945,5.577162189431665,1.44e+30
35.0,26.28686190221034,5.575996151973452,1.44e+30
36.0,26.27817839376752,5.574830287145113,1.44e+30
37.0,26.26949722393714,5.573664594929323,1.44e+30
38.0,26.26081839221495,5.572499075308759,1.44e+30
39.0,26.25214189809679,5.571333728266101,1.44e+30
40.0,26.24346774107859,5.570168553784028,1.44e+30
41.0,26.234795920656364,5.569003551845225,1.44e+30
42.0,26.22612643632622,5.5678387224323735,1.44e+30
43.0,26.217459287584347,5.566674065528161,1.44e+30
44.0,26.208794473927036,5.565509581115273,1.44e+30
45.0,26.200131994850658,5.564345269176399,1.44e+30
46.0,26.191471849851677,5.563181129694229,1.44e+30
47.0,26.182814038426642,5.562017162651455,1.44e+30
48.0,26.174158560072197,5.560853368030772,1.44e+30
49.0,26.16550541428507,5.559689745814874,1.44e+30
50.0,26.156854600562085,5.558526295986458,1.44e+30
51.0,26.148206118400143,5.557363018528223,1.44e+30
52.0,26.139559967296243,5.556199913422869,1.44e+30
53.0,26.130916146747474,5.555036980653098,1.44e+30
54.0,26.12227465625101,5.553874220201612,1.44e+30
55.0,26.11363549530412,5.5527116320511185,1.44e+30
56.0,26.10499866340415,5.551549216184322,1.44e+30
57.0,26.096364160048545,5.550386972583932,1.44e+30
58.0,26.087731984734837,5.549224901232658,1.44e+30
59.0,26.079102136960646,5.548063002113211,1.44e+30
60.0,26.07047461622368,5.546901275208305,1.44e+30
61.0,26.06184942202174,5.545739720500654,1.44e+30
62.0,26.053226553852713,5.544578337972975,1.44e+30
63.0,26.044606011214572,5.543417127607986,1.44e+30
64.0,26.035987793605386,5.542256089388407,1.44e+30
65.0,26.027371900523306,5.541095223296959,1.44e+30
66.0,26.018758331466575,5.539934529316364,1.44e+30
67.0,26.010147085933525,5.538774007429347,1.44e+30
68.0,26.001538163422573,5.537613657618634,1.44e+30
69.0,25.992931563432233,5.536453479866953,1.44e+30
70.0,25.9843272854611,5.535293474157034,1.44e+30
71.0,25.975725329007858,5.534133640471606,1.44e+30
72.0,25.967125693571287,5.532973978793403,1.44e+30
73.0,25.95852837865025,5.53181448910516,1.44e+30
74.0,25.9499333837437,5.530655171389611,1.44e+30
75.0,25.94134070835068,5.529496025629495,1.44e+30
76.0,25.932750351970316,5.52833705180755,1.44e+30
77.0,25.924162314101828,5.527178249906517,1.44e+30
78.0,25.915576594244527,5.526019619909138,1.44e+30
79.0,25.906993191897804,5.524861161798157,1.44e+30
80.0,25.89841210656115,5.52370287555632,1.44e+30
81.0,25.889833337734135,5.522544761166374,1.44e+30
82.0,25.88125688491642,5.5213868186110675,1.44e+30
83.0,25.87268274760776,5.520229047873151,1.44e+30
84.0,25.86411092530799,5.519071448935376,1.44e+30
85.0,25.855541417517042,5.517914021780498,1.44e+30
86.0,25.84697422373493,5.5167567663912696,1.44e+30
87.0,25.838409343461755,5.515599682750449,1.44e+30
88.0,25.829846776197716,5.514442770840795,1.44e+30
89.0,25.821286521443096,5.513286030645067,1.44e+30
90.0,25.812728578698263,5.512129462146026,1.44e+30
91.0,25.804172947463673,5.510973065326437,1.44e+30
92.0,25.79561962723988,5.509816840169063,1.44e+30
93.0,25.787068617527517,5.508660786656672,1.44e+30
94.0,25.778519917827307,5.507504904772032,1.44e+30
95.0,25.76997352764006,5.506349194497912,1.44e+30
96.0,25.761429446466686,5.505193655817084,1.44e+30
97.0,25.752887673808168,5.504038288712321,1.44e+30
98.0,25.744348209165583,5.502883093166397,1.44e+30
99.0,25.735811052040102,5.5017280691620885,1.44e+30
100.0,25.727276201932977,5.500573216682174,1.44e+30
101.0,25.718743658345552,5.499418535709431,1.44e+30
102.0,25.710213420779258,5.498264026226643,1.44e+30
103.0,25.701685488735613,5.49710968821659,1.44e+30
104.0,25.693159861716225,5.495955521662059,1.44e+30
105.0,25.684636539222794,5.494801526545833,1.44e+30
106.0,25.6761155207571,5.493647702850702,1.44e+30
107.0,25.667596805821017,5.492494050559454,1.44e+30
108.0,25.659080393916504,5.49134056965488,1.44e+30
109.0,25.650566284545615,5.490187260119771,1.44e+30
110.0,25.642054477210483,5.489034121936922,1.44e+30
111.0,25.633544971413336,5.487881155089129,1.44e+30
112.0,25.625037766656487,5.486728359559189,1.44e+30
113.0,25.616532862442337,5.485575735329899,1.44e+30
114.0,25.608030258273377,5.484423282384062,1.44e+30
115.0,25.599529953652183,5.4832710007044785,1.44e+30
116.0,25.591031948081422,5.482118890273951,1.44e+30
117.0,25.58253624106385,5.4809669510752865,1.44e+30
118.0,25.574042832102307,5.479815183091291,1.44e+30
119.0,25.565551720699723,5.478663586304773,1.44e+30
120.0,25.557062906359118,5.4775121606985415,1.44e+30
121.0,25.548576388583598,5.47636090625541,1.44e+30
122.0,25.54009216687636,5.475209822958191,1.44e+30
123.0,25.531610240740683,5.474058910789698,1.44e+30
124.0,25.52313060967994,5.472908169732749,1.44e+30
125.0,25.514653273197585,5.471757599770162,1.44e+30
126.0,25.50617823079717,5.470607200884754,1.44e+30
127.0,25.497705481982326,5.4694569730593505,1.44e+30
128.0,25.48923502625678,5.468306916276772,1.44e+30
129.0,25.480766863124334,5.467157030519843,1.44e+30
130.0,25.472300992088893,5.466007315771389,1.44e+30
131.0,25.463837412654442,5.464857772014239,1.44e+30
132.0,25.455376124325053,5.46370839923122,1.44e+30
133.0,25.446917126604887,5.462559197405166,1.44e+30
134.0,25.438460418998197,5.461410166518907,1.44e+30
135.0,25.430006001009318,5.460261306555278,1.44e+30
136.0,25.421553872142674,5.459112617497114,1.44e+30
137.0,25.41310403190278,5.457964099327254,1.44e+30
138.0,25.404656479794234,5.456815752028534,1.44e+30
139.0,25.396211215321728,5.455667575583797,1.44e+30
140.0,25.387768237990038,5.454519569975884,1.44e+30
141.0,25.379327547304026,5.4533717351876385,1.44e+30
142.0,25.370889142768647,5.452224071201906,1.44e+30
143.0,25.362453023888936,5.451076578001533,1.44e+30
144.0,25.354019190170025,5.44992925556937,1.44e+30
145.0,25.345587641117124,5.448782103888265,1.44e+30
146.0,25.33715837623554,5.44763512294107,1.44e+30
147.0,25.328731395030662,5.446488312710638,1.44e+30
148.0,25.320306697007965,5.445341673179824,1.44e+30
149.0,25.311884281673017,5.444195204331486,1.44e+30
150.0,25.30346414853147,5.44304890614848,1.44e+30
151.0,25.29504629708907,5.441902778613667,1.44e+30
152.0,25.286630726851637,5.440756821709907,1.44e+30
153.0,25.27821743732509,5.4396110354200635,1.44e+30
154.0,25.269806428015432,5.4384654197270015,1.44e+30
155.0,25.261397698428755,5.437319974613587,1.44e+30
156.0,25.25299124807124,5.436174700062687,1.44e+30
157.0,25.244587076449147,5.435029596057171,1.44e+30
158.0,25.236185183068834,5.43388466257991,1.44e+30
159.0,25.22778556743674,5.432739899613777,1.44e+30
160.0,25.219388229059394,5.431595307141645,1.44e+30
161.0,25.21099316744341,5.4304508851463895,1.44e+30
162.0,25.20260038209549,5.429306633610889,1.44e+30
163.0,25.19420987252243,5.428162552518021,1.44e+30
164.0,25.185821638231104,5.427018641850667,1.44e+30
165.0,25.17743567872848,5.425874901591709,1.44e+30
166.0,25.169051993521606,5.424731331724029,1.44e+30
167.0,25.16067058211763,5.4235879322305145,1.44e+30
168.0,25.15229144402377,5.422444703094051,1.44e+30
169.0,25.14391457874735,5.421301644297527,1.44e+30
170.0,25.135539985795766,5.4201587558238336,1.44e+30
171.0,25.12716766467651,5.41901603765586,1.44e+30
172.0,25.118797614897158,5.417873489776501,1.44e+30
173.0,25.110429835965373,5.4167311121686526,1.44e+30
174.0,25.10206432738891,5.415588904815208,1.44e+30
175.0,25.093701088675605,5.414446867699069,1.44e+30
176.0,25.08534011933338,5.413305000803131,1.44e+30
177.0,25.076981418870254,5.412163304110299,1.44e+30
178.0,25.068624986794326,5.411021777603474,1.44e+30
179.0,25.06027082261378,5.40988042126556,1.44e+30
180.0,25.051918925836894,5.408739235079463,1.44e+30
181.0,25.043569295972027,5.407598219028091,1.44e+30
182.0,25.03522193252763,5.406457373094353,1.44e+30
183.0,25.026876835012235,5.405316697261159,1.44e+30
184.0,25.01853400293447,5.404176191511422,1.44e+30
185.0,25.010193435803043,5.403035855828057,1.44e+30
186.0,25.00185513312675,5.401895690193978,1.44e+30
187.0,24.993519094414477,5.400755694592101,1.44e+30
188.0,24.985185319175194,5.3996158690053475,1.44e+30
189.0,24.976853806917962,5.398476213416637,1.44e+30
190.0,24.968524557151923,5.397336727808889,1.44e+30
191.0,24.96019756938631,5.396197412165029,1.44e+30
192.0,24.95187284313044,5.395058266467982,1.44e+30
193.0,24.94355037789373,5.393919290700674,1.44e+30
194.0,24.93523017318566,5.392780484846033,1.44e+30
195.0,24.926912228515814,5.391641848886988,1.44e+30
196.0,24.918596543393864,5.390503382806473,1.44e+30
197.0,24.910283117329563,5.389365086587419,1.44e+30
198.0,24.90197194983275,5.388226960212761,1.44e+30
199.0,24.89366304041335,5.3870890036654355,1.44e+30
200.0,24.885356388581386,5.38595121692838,1.44e+30
201.0,24.87705199384695,5.384813599984533,1.44e+30
202.0,24.86874985572024,5.383676152816836,1.44e+30
203.0,24.86044997371152,5.3825388754082315,1.44e+30
204.0,24.852152347331163,5.3814017677416635,1.44e+30
205.0,24.84385697608961,5.380264829800078,1.44e+30
206.0,24.835563859497405,5.379128061566422,1.44e+30
207.0,24.827272997065165,5.377991463023644,1.44e+30
208.0,24.8189843883036,5.376855034154695,1.44e+30
209.0,24.810698032723508,5.375718774942526,1.44e+30
210.0,24.80241392983577,5.3745826853700915,1.44e+30
211.0,24.794132079151353,5.373446765420347,1.44e+30
212.0,24.785852480181315,5.372311015076248,1.44e+30
213.0,24.7775751324368,5.371175434320754,1.44e+30
214.0,24.76930003542904,5.3700400231368235,1.44e+30
215.0,24.761027188669345,5.368904781507419,1.44e+30
216.0,24.752756591669122,5.367769709415503,1.44e+30
217.0,24.74448824393986,5.366634806844042,1.44e+30
218.0,24.736222144993135,5.3655000737759995,1.44e+30
219.0,24.72795829434061,5.364365510194345,1.44e+30
220.0,24.719696691494033,5.363231116082047,1.44e+30
221.0,24.71143733596524,5.362096891422078,1.44e+30
222.0,24.703180227266156,5.360962836197409,1.44e+30
223.0,24.694925364908787,5.359828950391015,1.44e+30
224.0,24.68667274840523,5.358695233985871,1.44e+30
225.0,24.678422377267665,5.357561686964955,1.44e+30
226.0,24.670174251008362,5.356428309311245,1.44e+30
227.0,24.661928369139677,5.355295101007723,1.44e+30
228.0,24.65368473117405,5.3541620620373696,1.44e+30
229.0,24.64544333662401,5.353029192383169,1.44e+30
230.0,24.63720418500217,5.351896492028106,1.44e+30
231.0,24.628967275821232,5.3507639609551685,1.44e+30
232.0,24.620732608593983,5.349631599147344,1.44e+30
233.0,24.612500182833298,5.348499406587623,1.44e+30
234.0,24.604269998052136,5.347367383258996,1.44e+30
235.0,24.59604205376354,5.346235529144457,1.44e+30
236.0,24.587816349480647,5.345103844227,1.44e+30
237.0,24.579592884716675,5.343972328489622,1.44e+30
238.0,24.57137165898493,5.34284098191532,1.44e+30
239.0,24.5631526717988,5.341709804487095,1.44e+30
240.0,24.554935922671767,5.3405787961879465,1.44e+30
241.0,24.546768142175132,5.339454390559115,1.422370549900356e+30
242.0,24.538695042762374,5.338342884092842,1.4050285963211337e+30
243.0,24.53071512305832,5.33724407470407,1.387968291736767e+30
244.0,24.522826911869217,5.336157764315504,1.3711839309402566e+30
245.0,24.51502896744848,5.335083758761555,1.3546699470149067e+30
246.0,24.507319876783423,5.334021867694961,1.338420907435932e+30
247.0,24.49969825490223,5.332971904496031,1.3224315102972397e+30
248.0,24.492162744200538,5.331933686184413,1.3066965806588755e+30
249.0,24.484712013786968,5.330907033333309,1.2912110670108111e+30
250.0,24.477344758847046,5.32989176998606,1.2759700378489178e+30
251.0,24.47005970002485,5.32888772357502,1.2609686783591341e+30
252.0,24.462855582821884,5.327894724842662,1.2462022872059974e+30
253.0,24.45573117701257,5.3269126077648234,1.2316662734218558e+30
254.0,24.448685276075892,5.32594120947605,1.2173561533932204e+30
255.0,24.441716696642615,5.324980370196945,1.203267547940857e+30
256.0,24.43482427795765,5.32402993316349,1.189396179490351e+30
257.0,24.42800688135704,5.323089744558253,1.175737869329998e+30
258.0,24.42126338975915,5.322159653443436,1.1622885349530008e+30
259.0,24.41459270716959,5.321239511695713,1.1490441874810677e+30
260.0,24.407993758199463,5.320329173942785,1.1360009291666116e+30
261.0,24.40146548759652,5.319428497501616,1.1231549509708684e+30
