time,Lx
1.0520817083662437,5.144274334181829e+30
1.1444229868231042,4.858251959475036e+30
1.244869065163131,4.580587845323284e+30
1.3541313021875423,4.318793093429936e+30
1.4729834927047856,4.0786675915214946e+30
1.6022673475428573,3.839235580913258e+30
1.742898454542662,3.619811402116756e+30
1.8958727627481329,3.39611923351986e+30
2.0622736357141327,3.212577218631971e+30
2.2432795238836367,3.019015154532046e+30
2.4401723103699533,2.8371154630721723e+30
2.6543463892487704,2.6749655461120404e+30
2.887318540652489,2.5179357405096573e+30
3.1407386726021973,2.3740279311346802e+30
3.4164015056509323,2.24572446476051e+30
3.716259283088813,2.1243551120367043e+30
4.042435596723704,2.0062406697668192e+30
4.397240426151498,1.907207175957697e+30
4.783186498024151,1.813062244644525e+30
5.203007081171659,1.7292469581878237e+30
5.6596753436030784,1.6520228830120782e+30
6.156425408472708,1.586058833504168e+30
6.696775258129794,1.5277489417857246e+30
7.284551648458129,1.4740065796720862e+30
7.923917209948808,1.436267207884091e+30
8.619399927435879,1.406420746006943e+30
9.375925207270257,1.379462869088439e+30
10.198850759031533,1.3686988127348312e+30
11.094004538809877,1.3714947777420084e+30
12.067726022772131,1.390220058607163e+30
13.126911103311505,1.4208446709442127e+30
14.27906092573516,1.464142392724742e+30
15.532335011350947,1.5363214017683638e+30
16.895609043170833,1.622705745772525e+30
18.378537723469282,1.7309553270804422e+30
19.991623148353423,1.883253268983879e+30
21.746289183573662,2.0967075015376057e+30
23.654962368303863,2.3614029008139093e+30
25.821516404495163,2.559717059928325e+30
27.59986446354307,2.936494591633768e+30
30.02230632289004,2.9424932350501136e+30
31.97767458475948,2.644761665985587e+30
33.085347912419714,2.388595365868412e+30
36.025313916867646,2.2520903481427612e+30
39.18725801060077,2.147979417470899e+30
43.9879105595043,2.1694701431302793e+30
50.1187233627272,2.2182443788726425e+30
55.804171747699634,2.2193637183132528e+30
62.244207228075936,2.191975089765024e+30
67.70738525528431,2.192841037286601e+30
73.65006676540487,2.1937073269037937e+30
80.11433780962987,2.1945739587517681e+30
87.14597833454121,2.2099410311690663e+30
94.7947863955441,2.2181028771723558e+30
103.11493082653375,2.2189791465688548e+30
112.1653348634018,2.219855762138681e+30
122.01009343820141,2.220732724018612e+30
132.71892709924882,2.2252692158522263e+30
144.36767577181982,2.2408512257688283e+30
157.03883585625562,2.2454288154877966e+30
170.8221444672021,2.2463158800929952e+30
185.8152149515649,2.247203295136207e+30
202.12422818591614,2.2480910607558744e+30
219.86468454911756,2.2489791770905122e+30
237.4913635372289,2.2145283670108354e+30
248.85490843714183,1.775483160615758e+30
258.33599561960386,1.5465191546549125e+30
271.3302613947764,1.3605241836146983e+30
284.9781369877786,1.1968982399144457e+30
297.2214128149807,1.0633648207462816e+30
309.9906861961193,9.447292211588493e+29
323.3085551213608,8.39329347650442e+29
337.1985884393021,7.456885402180975e+29
346.788575759821,6.891400799996517e+29
366.79452999282125,5.770730657124862e+29
382.55281464608805,5.059854263645948e+29
398.9881092188273,4.436548279675207e+29
416.1294995183555,3.8772423843161085e+29
434.0073209410469,3.399618276283408e+29
452.6532121573761,2.9418430746683865e+29
472.10017110338623,2.57097138091916e+29
492.3826133776718,2.2321123670221447e+29
513.5364331472213,1.9443047143315038e+29
535.5990666699066,1.7047925268338003e+29
550.8315985794248,1.539626311217092e+29
584.341413373517,1.3069995268479737e+29
607.6387550278042,1.1322975187767506e+29
633.7442273975047,1.0010169229548784e+29
660.9712472030893,8.777051029649949e+28
689.3679985430151,7.721208696819519e+28
718.984735608604,6.859782584712468e+28
749.8738716196996,6.09446253264826e+28
782.0900715811923,5.414526350241508e+28
815.6903490245649,4.810448081419299e+28
856.7194636860601,4.231910693827982e+28
899.8123372873538,3.7229521694061194e+28
938.4702173429068,3.351431700219033e+28
985.675142839214,2.967838496650936e+28
1042.5379496748824,2.59813267537092e+28
1102.681126138131,2.2801030938261494e+28
1166.2939141164495,2.015876569735903e+28
1233.5764727097298,1.7822695629042645e+28
1304.740508035475,1.5835327139473766e+28
1380.0099393669652,1.417414866308561e+28
1459.6216037004003,1.265595229226003e+28
1554.6875099475394,1.1189703448984946e+28
1667.5954248222993,9.767461532290189e+27
1788.7031851063755,8.661762465198523e+27
1905.2023441131955,7.715184423297211e+27
2029.289153302729,6.878839766342702e+27
2176.664626194454,6.112198246389805e+27
2334.743122839453,5.441734502429756e+27
2521.9208300296136,4.805271169386955e+27
2724.104682318237,4.2544362800015044e+27
2921.940567416137,3.810263197659223e+27
3156.1942335281124,3.3657238016370186e+27
3409.2281516064836,2.990714851182373e+27
3656.820570962325,2.6837721284440823e+27
3922.3941882305403,2.40358005124722e+27
4236.854800049844,2.1399952170496195e+27
4576.525901085782,1.9090824839457528e+27
4840.542002315924,1.7633804385613853e+27
